section_id,label,sort_order,height_m1,distance_m
A7-03,Section 3,3,,0
A7-03,Section 3,3,,1
A7-03,Section 3,3,,2
A7-03,Section 3,3,,3
A7-03,Section 3,3,,4
A7-03,Section 3,3,,5
A7-03,Section 3,3,,6
A7-03,Section 3,3,,7
A7-03,Section 3,3,,8
A7-03,Section 3,3,,9
A7-03,Section 3,3,,10
A7-03,Section 3,3,,11
A7-03,Section 3,3,,12
A7-03,Section 3,3,,13
A7-03,Section 3,3,,14
A7-03,Section 3,3,,15
A7-03,Section 3,3,,16
A7-03,Section 3,3,,17
A7-03,Section 3,3,,18
A7-03,Section 3,3,,19
A7-03,Section 3,3,,20
A7-03,Section 3,3,,21
A7-03,Section 3,3,,22
A7-03,Section 3,3,,23
A7-03,Section 3,3,,24
A7-03,Section 3,3,,25
A7-03,Section 3,3,,26
A7-03,Section 3,3,,27
A7-03,Section 3,3,,28
A7-03,Section 3,3,,29
A7-03,Section 3,3,,30
A7-03,Section 3,3,,31
A7-03,Section 3,3,,32
A7-03,Section 3,3,,33
A7-03,Section 3,3,,34
A7-03,Section 3,3,,35
A7-03,Section 3,3,,36
A7-03,Section 3,3,,37
A7-03,Section 3,3,,38
A7-03,Section 3,3,,39
A7-03,Section 3,3,,40
A7-03,Section 3,3,,41
A7-03,Section 3,3,,42
A7-03,Section 3,3,,43
A7-03,Section 3,3,,44
A7-03,Section 3,3,,45
A7-03,Section 3,3,,46
A7-03,Section 3,3,,47
A7-03,Section 3,3,,48
A7-03,Section 3,3,,49
A7-03,Section 3,3,,50
A7-03,Section 3,3,,51
A7-03,Section 3,3,,52
A7-03,Section 3,3,,53
A7-03,Section 3,3,,54
A7-03,Section 3,3,,55
A7-03,Section 3,3,,56
A7-03,Section 3,3,,57
A7-03,Section 3,3,,58
A7-03,Section 3,3,,59
A7-03,Section 3,3,,60
A7-03,Section 3,3,,61
A7-03,Section 3,3,,62
A7-03,Section 3,3,,63
A7-03,Section 3,3,,64
A7-03,Section 3,3,,65
A7-03,Section 3,3,,66
A7-03,Section 3,3,,67
A7-03,Section 3,3,,68
A7-03,Section 3,3,,69
A7-03,Section 3,3,,70
A7-03,Section 3,3,,71
A7-03,Section 3,3,,72
A7-03,Section 3,3,,73
A7-03,Section 3,3,,74
A7-03,Section 3,3,,75
A7-03,Section 3,3,,76
A7-03,Section 3,3,,77
A7-03,Section 3,3,,78
A7-03,Section 3,3,,79
A7-03,Section 3,3,10.79,80
A7-03,Section 3,3,10.66,81
A7-03,Section 3,3,10.59,82
A7-03,Section 3,3,10.43,83
A7-03,Section 3,3,10.35,84
A7-03,Section 3,3,10.20,85
A7-03,Section 3,3,10.05,86
A7-03,Section 3,3,10.01,87
A7-03,Section 3,3,9.92,88
A7-03,Section 3,3,9.82,89
A7-03,Section 3,3,9.74,90
A7-03,Section 3,3,9.66,91
A7-03,Section 3,3,9.56,92
A7-03,Section 3,3,9.51,93
A7-03,Section 3,3,9.37,94
A7-03,Section 3,3,9.35,95
A7-03,Section 3,3,9.29,96
A7-03,Section 3,3,9.18,97
A7-03,Section 3,3,9.08,98
A7-03,Section 3,3,9.05,99
A7-03,Section 3,3,8.94,100
A7-03,Section 3,3,8.89,101
A7-03,Section 3,3,8.78,102
A7-03,Section 3,3,8.71,103
A7-03,Section 3,3,8.52,104
A7-03,Section 3,3,8.48,105
A7-03,Section 3,3,8.34,106
A7-03,Section 3,3,8.35,107
A7-03,Section 3,3,8.25,108
A7-03,Section 3,3,8.13,109
A7-03,Section 3,3,7.99,110
A7-03,Section 3,3,7.78,111
A7-03,Section 3,3,7.78,112
A7-03,Section 3,3,8.46,113
A7-03,Section 3,3,8.84,114
A7-03,Section 3,3,8.54,115
A7-03,Section 3,3,6.61,116
A7-03,Section 3,3,4.10,117
A7-03,Section 3,3,3.48,118
A7-03,Section 3,3,3.37,119
A7-03,Section 3,3,3.23,120
A7-03,Section 3,3,3.08,121
A7-03,Section 3,3,2.93,122
A7-03,Section 3,3,2.81,123
A7-03,Section 3,3,2.67,124
A7-03,Section 3,3,2.58,125
A7-03,Section 3,3,2.47,126
A7-03,Section 3,3,2.37,127
A7-03,Section 3,3,2.32,128
A7-03,Section 3,3,2.20,129
A7-03,Section 3,3,2.08,130
A7-03,Section 3,3,1.97,131
A7-03,Section 3,3,1.89,132
A7-03,Section 3,3,1.77,133
A7-03,Section 3,3,1.71,134
A7-03,Section 3,3,1.64,135
A7-03,Section 3,3,1.62,136
A7-03,Section 3,3,1.60,137
A7-03,Section 3,3,1.56,138
A7-03,Section 3,3,1.54,139
A7-03,Section 3,3,1.52,140
A7-03,Section 3,3,1.50,141
